VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	Sample
130	WM9	SET	85	0.061727	0.0043726	0.086983	0.23897	EPILEPSY_2018
131	WM1	SET	221	0.031016	0.003323	0.056245	0.29067	MDD_2018
132	WM10	SET	365	0.08177	0.011215	0.045102	0.034924	MDD_2018
133	WM11	SET	201	-0.041989	-0.0042925	0.057766	0.76635	MDD_2018
134	WM12	SET	115	0.21362	0.016556	0.086479	0.0067575	MDD_2018
135	WM13	SET	106	-0.0015463	-0.00011509	0.07434	0.5083	MDD_2018
136	WM14	SET	94	-0.036706	-0.0025734	0.082727	0.67137	MDD_2018
137	WM15	SET	99	0.13504	0.0097146	0.086697	0.059673	MDD_2018
138	WM16	SET	221	0.016273	0.0017434	0.054452	0.38253	MDD_2018
139	WM17	SET	129	0.0050506	0.00041442	0.071241	0.47174	MDD_2018
140	WM18	SET	84	-0.095	-0.0062977	0.096277	0.83811	MDD_2018
141	WM19	SET	225	0.038582	0.0041704	0.049962	0.21999	MDD_2018
142	WM2	SET	475	-0.018805	-0.0029336	0.035095	0.70395	MDD_2018
143	WM20	SET	212	-0.059819	-0.0062784	0.054324	0.86458	MDD_2018
144	WM21	SET	357	0.0037722	0.0005118	0.047938	0.46864	MDD_2018
145	WM22	SET	88	0.027893	0.0018924	0.083187	0.3687	MDD_2018
146	WM23	SET	130	0.09516	0.0078382	0.066236	0.075414	MDD_2018
147	WM24	SET	144	-0.03202	-0.0027748	0.071664	0.67249	MDD_2018
148	WM25	SET	984	0.019308	0.0042755	0.026163	0.23027	MDD_2018
149	WM26	SET	402	-0.0097322	-0.0013995	0.041502	0.5927	MDD_2018
150	WM3	SET	458	0.018569	0.0028459	0.039172	0.31774	MDD_2018
151	WM4	SET	131	0.024192	0.0020003	0.082035	0.38404	MDD_2018
152	WM5	SET	77	-0.12975	-0.0082366	0.087736	0.9304	MDD_2018
153	WM6	SET	77	0.0096432	0.00061216	0.094735	0.45946	MDD_2018
154	WM7	SET	79	0.10121	0.0065076	0.10068	0.15738	MDD_2018
155	WM8	SET	88	0.023417	0.0015887	0.097297	0.4049	MDD_2018
156	WM9	SET	90	0.097342	0.0066784	0.074671	0.096191	MDD_2018
157	WM1	SET	217	-0.051364	-0.0055504	0.073866	0.75658	SZ_2018
158	WM10	SET	358	0.074248	0.010265	0.058083	0.10058	SZ_2018
159	WM11	SET	199	0.13838	0.014327	0.07341	0.029719	SZ_2018
160	WM12	SET	112	0.4938	0.038446	0.1126	5.8226e-06	SZ_2018
161	WM13	SET	104	-0.13133	-0.0098554	0.10334	0.89811	SZ_2018
162	WM14	SET	93	0.017127	0.0012157	0.10629	0.43599	SZ_2018
163	WM15	SET	98	0.12436	0.0090601	0.11432	0.13836	SZ_2018
164	WM16	SET	220	-0.015	-0.0016319	0.070174	0.58463	SZ_2018
165	WM17	SET	127	0.073923	0.0061262	0.089728	0.20502	SZ_2018
166	WM18	SET	84	-0.14705	-0.0099227	0.12252	0.88496	SZ_2018
167	WM19	SET	222	0.0062685	0.00068504	0.064541	0.46131	SZ_2018
168	WM2	SET	459	0.022652	0.0035362	0.046341	0.31249	SZ_2018
169	WM20	SET	211	0.0051676	0.00055073	0.068915	0.47011	SZ_2018
170	WM21	SET	356	0.11677	0.0161	0.060779	0.027357	SZ_2018
171	WM22	SET	88	0.15144	0.010458	0.10965	0.083636	SZ_2018
172	WM23	SET	130	0.10245	0.0085897	0.08506	0.11421	SZ_2018
173	WM24	SET	143	-0.061409	-0.0053979	0.089857	0.75282	SZ_2018
174	WM25	SET	955	0.096519	0.021431	0.034151	0.0023579	SZ_2018
175	WM26	SET	400	0.040626	0.0059301	0.053785	0.22503	SZ_2018
176	WM3	SET	456	0.068584	0.010672	0.050737	0.088237	SZ_2018
177	WM4	SET	128	-0.1136	-0.009451	0.10946	0.85032	SZ_2018
178	WM5	SET	77	0.1045	0.0067526	0.11628	0.1844	SZ_2018
179	WM6	SET	74	0.037395	0.002369	0.12261	0.38019	SZ_2018
180	WM7	SET	78	-0.094068	-0.0061176	0.13267	0.76085	SZ_2018
181	WM8	SET	88	0.053639	0.0037042	0.11576	0.32155	SZ_2018
182	WM9	SET	88	0.1496	0.010331	0.10424	0.075642	SZ_2018
183	WM1	SET	221	-0.062496	-0.0067103	0.074694	0.79861	tCognFun
184	WM10	SET	365	0.13496	0.018552	0.060131	0.012406	tCognFun
185	WM11	SET	201	0.017935	0.0018375	0.074738	0.40518	tCognFun
186	WM12	SET	115	0.12613	0.009797	0.11077	0.12743	tCognFun
187	WM13	SET	105	0.0063426	0.00047086	0.099377	0.47456	tCognFun
