Gene	cluster
SNX9	Oligo_L1-6_OPALIN_NA
BBS9	Oligo_L1-6_OPALIN_NA
GATAD2B	Oligo_L1-6_OPALIN_NA
BPTF	Oligo_L1-6_OPALIN_NA
ZNF704	Oligo_L1-6_OPALIN_NA
TTLL11	Oligo_L1-6_OPALIN_NA
GATS	Oligo_L1-6_OPALIN_NA
PKD2	Oligo_L1-6_OPALIN_NA
TRA2A	Oligo_L1-6_OPALIN_NA
PHACTR3	Oligo_L1-6_OPALIN_NA
RUFY2	Oligo_L1-6_OPALIN_NA
PRKACB	Oligo_L1-6_OPALIN_NA
DPYSL2	Oligo_L1-6_OPALIN_NA
CTTNBP2	Oligo_L1-6_OPALIN_NA
SUMF1	Oligo_L1-6_OPALIN_NA
PAN3	Oligo_L1-6_OPALIN_NA
MAPRE2	Oligo_L1-6_OPALIN_NA
TTLL5	Oligo_L1-6_OPALIN_NA
MBNL1	Oligo_L1-6_OPALIN_NA
SHISA8	Inh_L2-4_VIP_CBLN1
ITGA8	Inh_L2-4_VIP_CBLN1
SEZ6	Inh_L2-4_VIP_CBLN1
ADARB2	Inh_L2-4_VIP_CBLN1
PLD5	Inh_L2-4_VIP_CBLN1
L3MBTL4	Inh_L2-4_VIP_CBLN1
HTR2C	Inh_L2-4_VIP_CBLN1
LAMA3	Inh_L2-4_VIP_CBLN1
SLC24A3	Inh_L2-4_VIP_CBLN1
BTBD11	Inh_L2-4_VIP_CBLN1
RGS12	Inh_L2-4_VIP_CBLN1
SYNPR	Inh_L2-4_VIP_CBLN1
PLCE1	Inh_L2-4_VIP_CBLN1
THSD7A	Inh_L2-4_VIP_CBLN1
PROX1	Inh_L2-4_VIP_CBLN1
ZNF804A	Inh_L2-4_VIP_CBLN1
COL21A1	Inh_L2-4_VIP_CBLN1
SLC44A5	Inh_L2-4_VIP_CBLN1
GALNT13	Inh_L2-4_VIP_CBLN1
SDK1	Inh_L2-4_VIP_CBLN1
C8orf34	Inh_L2-4_VIP_CBLN1
EGFR	Inh_L2-4_VIP_CBLN1
GRIN2D	Inh_L2-4_VIP_CBLN1
SLC35F4	Inh_L2-4_VIP_CBLN1
