Gene	ModuleColor	kWithin	ModuleName
ISYNA1	blue	14.0712255605098	WM2
ITM2C	blue	36.4445462258339	WM2
JMJD4	blue	19.9764948202739	WM2
JMJD8	blue	37.8944419439739	WM2
JPH4	blue	18.8971892328465	WM2
KCTD10	blue	16.3222050884116	WM2
KCTD17	blue	39.79577826881	WM2
KHK	blue	12.2578294129521	WM2
KIAA1191	blue	26.4498659807468	WM2
KLHDC3	blue	55.0447695268097	WM2
KLHL21	blue	13.2333097753689	WM2
KLHL36	blue	9.05451214725273	WM2
KXD1	blue	40.6020658307178	WM2
LDOC1L	blue	66.689284820412	WM2
LGALS1	blue	21.9740243276771	WM2
LIMD2	blue	18.5219139730315	WM2
LIN7B	blue	9.17229529948723	WM2
LMNB2	blue	15.5487295774482	WM2
LSM10	blue	16.7590850996734	WM2
LSM4	blue	47.9413227129054	WM2
LY6E	blue	38.5847786509038	WM2
LY6H	blue	10.5343836178326	WM2
MAD2L1BP	blue	14.8327447485647	WM2
MAGEH1	blue	12.7024652980707	WM2
MAN2B2	blue	40.1950202656196	WM2
MANBAL	blue	31.3432369126234	WM2
MANEAL	blue	16.8864233330218	WM2
MAP1LC3A	blue	7.4051834216237	WM2
MAP3K12	blue	33.4073574208616	WM2
MAP4K2	blue	8.23134919223332	WM2
MAPK1	blue	15.026372964965	WM2
MAPK3	blue	44.7246403828198	WM2
MAPK8IP1	blue	61.7256147803902	WM2
MAPK9	blue	58.795536027195	WM2
MAZ	blue	47.3151789145725	WM2
MBD3	blue	13.9764896589819	WM2
MBTPS1	blue	33.3002401687451	WM2
MDH1	blue	58.2415003857387	WM2
MDH2	blue	48.2725723575443	WM2
MEA1	blue	34.5888750405857	WM2
MEAF6	blue	23.3054418078639	WM2
MED16	blue	42.1302266242187	WM2
MED29	blue	48.2892405572499	WM2
MEN1	blue	31.6712829032307	WM2
MEPCE	blue	17.9592954971118	WM2
MFSD4	blue	17.8222975450381	WM2
MIEF1	blue	40.861061585389	WM2
MLF2	blue	48.3118187649546	WM2
MLST8	blue	9.4935427360774	WM2
MPDU1	blue	36.324373185066	WM2
MPI	blue	34.6916950358632	WM2
MRFAP1	blue	21.6395880092971	WM2
MRPL10	blue	5.41325160300446	WM2
MRPL49	blue	42.1297629472186	WM2
MRPS18B	blue	4.79193669684755	WM2
MRPS2	blue	17.1559760768898	WM2
MSL1	blue	14.2492016595936	WM2
MT3	blue	42.1232071357795	WM2
MTA2	blue	24.5275349555625	WM2
MVD	blue	19.5679024487237	WM2
MXRA7	blue	39.6935988623583	WM2
NBL1	blue	20.7466202753645	WM2
NDN	blue	22.4331587281276	WM2
NDRG3	blue	45.3699436589967	WM2
NDUFA3	blue	19.9270309161383	WM2
NDUFB9	blue	3.39353822185661	WM2
